time,country,province,cum_confirm,cum_heal,cum_dead
3/28/20,United Kingdom,England,12288,0,679
3/28/20,United Kingdom,Scotland,1059,0,33
3/28/20,United Kingdom,Wales,921,0,34
3/28/20,United Kingdom,Northern Ireland,275,0,13
3/29/20,United Kingdom,England,14427,0,926
3/29/20,United Kingdom,Scotland,1245,0,40
3/29/20,United Kingdom,Wales,1093,0,38
3/29/20,United Kingdom,Northern Ireland,324,0,15
3/16/20,United Kingdom,England,0,0,0
3/16/20,United Kingdom,Scotland,0,0,0
3/16/20,United Kingdom,Wales,0,0,0
3/16/20,United Kingdom,Northern Ireland,0,0,0
3/17/20,United Kingdom,England,0,0,0
3/17/20,United Kingdom,Scotland,0,0,0
3/17/20,United Kingdom,Wales,0,0,0
3/17/20,United Kingdom,Northern Ireland,0,0,0
3/18/20,United Kingdom,England,1196,0,48
3/18/20,United Kingdom,Scotland,153,0,1
3/18/20,United Kingdom,Wales,124,0,0
3/18/20,United Kingdom,Northern Ireland,52,0,0
3/19/20,United Kingdom,England,2182,0,48
3/19/20,United Kingdom,Scotland,227,0,1
3/19/20,United Kingdom,Wales,149,0,0
3/19/20,United Kingdom,Northern Ireland,68,0,0
3/20/20,United Kingdom,England,2756,0,128
3/20/20,United Kingdom,Scotland,266,0,6
3/20/20,United Kingdom,Wales,170,0,2
3/20/20,United Kingdom,Northern Ireland,77,0,1
3/21/20,United Kingdom,England,3384,0,128
3/21/20,United Kingdom,Scotland,322,0,6
3/21/20,United Kingdom,Wales,191,0,3
3/21/20,United Kingdom,Northern Ireland,86,0,1
3/22/20,United Kingdom,England,4257,0,181
3/22/20,United Kingdom,Scotland,373,0,7
3/22/20,United Kingdom,Wales,280,0,5
3/22/20,United Kingdom,Northern Ireland,108,0,1
3/23/20,United Kingdom,England,4792,0,181
3/23/20,United Kingdom,Scotland,416,0,7
3/23/20,United Kingdom,Wales,347,0,5
3/23/20,United Kingdom,Northern Ireland,128,0,1
3/24/20,United Kingdom,England,6483,0,386
3/24/20,United Kingdom,Scotland,584,0,16
3/24/20,United Kingdom,Wales,478,0,17
3/24/20,United Kingdom,Northern Ireland,172,0,3
3/25/20,United Kingdom,England,7973,0,414
3/25/20,United Kingdom,Scotland,719,0,22
3/25/20,United Kingdom,Wales,628,0,22
3/25/20,United Kingdom,Northern Ireland,209,0,5
3/26/20,United Kingdom,England,7973,0,414
3/26/20,United Kingdom,Scotland,719,0,22
3/26/20,United Kingdom,Wales,628,0,22
3/26/20,United Kingdom,Northern Ireland,209,0,5
3/27/20,United Kingdom,England,9782,0,521
3/27/20,United Kingdom,Scotland,894,0,25
3/27/20,United Kingdom,Wales,741,0,28
3/27/20,United Kingdom,Northern Ireland,241,0,10
3/28/20,United Kingdom,England,12288,0,679
3/28/20,United Kingdom,Scotland,1059,0,33
3/28/20,United Kingdom,Wales,921,0,34
3/28/20,United Kingdom,Northern Ireland,275,0,13
3/29/20,United Kingdom,England,14427,0,926
3/29/20,United Kingdom,Scotland,1245,0,40
3/29/20,United Kingdom,Wales,1093,0,38
3/29/20,United Kingdom,Northern Ireland,324,0,15
3/30/20,United Kingdom,England,18594,0,1284
3/30/20,United Kingdom,Scotland,1563,0,41
3/30/20,United Kingdom,Wales,1451,0,62
3/30/20,United Kingdom,Northern Ireland,533,0,21
3/16/20,United Kingdom,England,0,0,0
3/16/20,United Kingdom,Scotland,0,0,0
3/16/20,United Kingdom,Wales,0,0,0
3/16/20,United Kingdom,Northern Ireland,0,0,0
3/17/20,United Kingdom,England,0,0,0
3/17/20,United Kingdom,Scotland,0,0,0
3/17/20,United Kingdom,Wales,0,0,0
3/17/20,United Kingdom,Northern Ireland,0,0,0
3/18/20,United Kingdom,England,1196,0,48
3/18/20,United Kingdom,Scotland,153,0,1
3/18/20,United Kingdom,Wales,124,0,0
3/18/20,United Kingdom,Northern Ireland,52,0,0
3/19/20,United Kingdom,England,2182,0,48
3/19/20,United Kingdom,Scotland,227,0,1
3/19/20,United Kingdom,Wales,149,0,0
3/19/20,United Kingdom,Northern Ireland,68,0,0
3/20/20,United Kingdom,England,2756,0,128
3/20/20,United Kingdom,Scotland,266,0,6
3/20/20,United Kingdom,Wales,170,0,2
3/20/20,United Kingdom,Northern Ireland,77,0,1
3/21/20,United Kingdom,England,3384,0,128
3/21/20,United Kingdom,Scotland,322,0,6
3/21/20,United Kingdom,Wales,191,0,3
3/21/20,United Kingdom,Northern Ireland,86,0,1
3/22/20,United Kingdom,England,4257,0,181
3/22/20,United Kingdom,Scotland,373,0,7
3/22/20,United Kingdom,Wales,280,0,5
3/22/20,United Kingdom,Northern Ireland,108,0,1
3/23/20,United Kingdom,England,4792,0,181
3/23/20,United Kingdom,Scotland,416,0,7
3/23/20,United Kingdom,Wales,347,0,5
3/23/20,United Kingdom,Northern Ireland,128,0,1
3/24/20,United Kingdom,England,6483,0,386
3/24/20,United Kingdom,Scotland,584,0,16
3/24/20,United Kingdom,Wales,478,0,17
3/24/20,United Kingdom,Northern Ireland,172,0,3
3/25/20,United Kingdom,England,7973,0,414
3/25/20,United Kingdom,Scotland,719,0,22
3/25/20,United Kingdom,Wales,628,0,22
3/25/20,United Kingdom,Northern Ireland,209,0,5
3/26/20,United Kingdom,England,7973,0,414
3/26/20,United Kingdom,Scotland,719,0,22
3/26/20,United Kingdom,Wales,628,0,22
3/26/20,United Kingdom,Northern Ireland,209,0,5
3/27/20,United Kingdom,England,9782,0,521
3/27/20,United Kingdom,Scotland,894,0,25
3/27/20,United Kingdom,Wales,741,0,28
3/27/20,United Kingdom,Northern Ireland,241,0,10
3/28/20,United Kingdom,England,12288,0,679
3/28/20,United Kingdom,Scotland,1059,0,33
3/28/20,United Kingdom,Wales,921,0,34
3/28/20,United Kingdom,Northern Ireland,275,0,13
3/29/20,United Kingdom,England,14427,0,926
3/29/20,United Kingdom,Scotland,1245,0,40
3/29/20,United Kingdom,Wales,1093,0,38
3/29/20,United Kingdom,Northern Ireland,324,0,15
3/30/20,United Kingdom,England,18594,0,1284
3/30/20,United Kingdom,Scotland,1563,0,41
3/30/20,United Kingdom,Wales,1451,0,62
3/30/20,United Kingdom,Northern Ireland,533,0,21
3/31/20,United Kingdom,England,21008,0,1651
3/31/20,United Kingdom,Scotland,1993,0,47
3/31/20,United Kingdom,Wales,1563,0,69
3/31/20,United Kingdom,Northern Ireland,586,0,22
4/1/20,United Kingdom,England,21008,0,1651
4/1/20,United Kingdom,Scotland,1993,0,47
4/1/20,United Kingdom,Wales,1563,0,69
4/1/20,United Kingdom,Northern Ireland,586,0,22
3/16/20,United Kingdom,England,0,0,0
3/16/20,United Kingdom,Scotland,0,0,0
3/16/20,United Kingdom,Wales,0,0,0
3/16/20,United Kingdom,Northern Ireland,0,0,0
3/17/20,United Kingdom,England,0,0,0
3/17/20,United Kingdom,Scotland,0,0,0
3/17/20,United Kingdom,Wales,0,0,0
3/17/20,United Kingdom,Northern Ireland,0,0,0
3/18/20,United Kingdom,England,1196,0,48
3/18/20,United Kingdom,Scotland,153,0,1
3/18/20,United Kingdom,Wales,124,0,0
3/18/20,United Kingdom,Northern Ireland,52,0,0
3/19/20,United Kingdom,England,2182,0,48
3/19/20,United Kingdom,Scotland,227,0,1
3/19/20,United Kingdom,Wales,149,0,0
3/19/20,United Kingdom,Northern Ireland,68,0,0
3/20/20,United Kingdom,England,2756,0,128
3/20/20,United Kingdom,Scotland,266,0,6
3/20/20,United Kingdom,Wales,170,0,2
3/20/20,United Kingdom,Northern Ireland,77,0,1
3/21/20,United Kingdom,England,3384,0,128
3/21/20,United Kingdom,Scotland,322,0,6
3/21/20,United Kingdom,Wales,191,0,3
3/21/20,United Kingdom,Northern Ireland,86,0,1
3/22/20,United Kingdom,England,4257,0,181
